,number,value,datetime_start,datetime_complete,duration,params_cnr,params_dnr,params_dropout,params_dropout2d,params_learning_rate,params_weight_decay,state
0,0,2.3010734617710114,2026-06-14 04:50:31.438316,2026-06-14 04:54:06.076980,0 days 00:03:34.638664,0.5,0.25,0.18402596934164717,0.10572462690297976,0.03171098728500735,0.0024441224033296682,COMPLETE
1,1,0.7346991635859013,2026-06-14 04:54:06.077626,2026-06-14 04:57:37.049740,0 days 00:03:30.972114,0.5,2.0,0.21498745166449576,0.4935032722243899,0.0032023188373569928,0.0020211422916481376,COMPLETE
2,2,1.201604187488556,2026-06-14 04:57:37.050432,2026-06-14 05:02:05.132972,0 days 00:04:28.082540,1.0,2.0,0.5940653933486661,0.5852974837565105,0.004603396743935503,0.0002918039119296034,COMPLETE
3,3,0.6802538745105267,2026-06-14 05:02:05.133393,2026-06-14 05:06:30.489850,0 days 00:04:25.356457,1.0,2.0,0.11171802854225828,0.07060875555694854,0.0005337119127377114,0.002027100423790268,COMPLETE
4,4,2.301342636346817,2026-06-14 05:06:30.490421,2026-06-14 05:20:33.992733,0 days 00:14:03.502312,4.0,4.0,0.4035653098026341,0.13694745349972684,0.014242733415089897,0.00028209389445069463,COMPLETE
5,5,1.516348473727703,2026-06-14 05:20:33.993190,2026-06-14 05:22:03.010612,0 days 00:01:29.017422,0.25,0.5,0.5463417786073027,0.04569281552622446,3.3073641948704494e-05,0.0007033135161080798,PRUNED
6,6,0.7353860419243574,2026-06-14 05:22:03.010918,2026-06-14 05:26:52.372468,0 days 00:04:49.361550,1.0,4.0,0.13283162966007955,0.3649601895491656,0.00013436101689100354,0.002418825885786606,COMPLETE
7,7,0.7415838576853275,2026-06-14 05:26:52.372886,2026-06-14 05:33:52.000547,0 days 00:06:59.627661,2.0,1.0,0.4153518318820168,0.331882683054432,0.0008227352010330783,0.00013048173477116869,COMPLETE
8,8,0.6848149672150612,2026-06-14 05:33:52.000981,2026-06-14 05:38:51.954885,0 days 00:04:59.953904,1.0,4.0,0.4341237995005951,0.035022677746605654,0.0002964273013073774,0.006512271474277572,COMPLETE
9,9,1.4489045664668083,2026-06-14 05:38:51.955325,2026-06-14 05:40:49.861545,0 days 00:01:57.906220,2.0,4.0,0.19807750074276448,0.35550959687175754,0.009294483786843145,0.0017795932161204704,PRUNED
10,10,2.251423552632332,2026-06-14 05:40:49.861882,2026-06-14 05:41:56.174478,0 days 00:01:06.312596,0.25,2.0,0.793105002095369,0.21543316470537272,1.124743078622107e-05,0.008807117164790502,PRUNED
11,11,0.6318611931055784,2026-06-14 05:41:56.174755,2026-06-14 05:46:51.272807,0 days 00:04:55.098052,1.0,0.5,0.004779663397790401,0.009798966931969702,0.0003464619133273252,0.007758847071082057,COMPLETE
12,12,0.6808682642877102,2026-06-14 05:46:51.273426,2026-06-14 05:51:46.295693,0 days 00:04:55.022267,1.0,0.5,0.012458151621158691,0.006931735425585336,0.0007449066321888653,0.004824448206084714,COMPLETE
13,13,0.9216335900127888,2026-06-14 05:51:46.296113,2026-06-14 05:53:59.111152,0 days 00:02:12.815039,1.0,0.5,0.00132348708798342,0.1792912177943976,0.00010494080878087567,0.004321800447047301,PRUNED
14,14,1.3521748408675194,2026-06-14 05:53:59.111450,2026-06-14 05:57:41.525059,0 days 00:03:42.413609,4.0,0.25,0.09120031051575601,0.2579433873953508,0.0011337488454627234,0.0008510988440319816,PRUNED
15,15,0.9168743342161179,2026-06-14 05:57:41.525320,2026-06-14 05:59:54.536021,0 days 00:02:13.010701,1.0,1.0,0.3079925707880043,0.09929577945525694,0.00019830376269500832,0.0011610998598468917,PRUNED
16,16,0.9989732168614864,2026-06-14 05:59:54.536324,2026-06-14 06:01:37.929713,0 days 00:01:43.393389,1.0,0.5,0.06401535399285582,0.08628006909558582,5.546564861355732e-05,0.009518858915788743,PRUNED
17,17,0.6853360813111067,2026-06-14 06:01:37.930061,2026-06-14 06:06:35.071708,0 days 00:04:57.141647,1.0,2.0,0.2998106843422329,0.0030307056215129894,0.0004253442230197601,0.003550211111164487,COMPLETE
18,18,1.072097770869732,2026-06-14 06:06:35.072147,2026-06-14 06:07:41.386675,0 days 00:01:06.314528,0.25,2.0,0.28309855069874856,0.15955719154366915,0.0019645039559037973,0.0004975916545919113,PRUNED
19,19,1.3263297602534294,2026-06-14 06:07:41.386944,2026-06-14 06:08:50.416398,0 days 00:01:09.029454,0.5,0.5,0.1271896376197757,0.2715171636509477,3.092232039271579e-05,0.0014479364301109045,PRUNED
20,20,0.6597604490816593,2026-06-14 06:08:50.416674,2026-06-14 06:22:24.577883,0 days 00:13:34.161209,4.0,1.0,0.06182013230342932,0.06848480801271428,0.00041613377921257723,0.003436117916059915,COMPLETE
21,21,0.6468100398778915,2026-06-14 06:22:24.578301,2026-06-14 06:35:58.397570,0 days 00:13:33.819269,4.0,1.0,0.06859467504753824,0.06738018647902458,0.0004278911072151049,0.003452378612291741,COMPLETE
22,22,1.0381732620298862,2026-06-14 06:35:58.397975,2026-06-14 06:39:42.085306,0 days 00:03:43.687331,4.0,1.0,0.0044754421006860615,0.12436607358738336,0.0016643494925441093,0.003401262675859737,PRUNED
23,23,0.6435163784772158,2026-06-14 06:39:42.085607,2026-06-14 06:53:15.911672,0 days 00:13:33.826065,4.0,1.0,0.07965742018098732,0.06092695358840036,0.00023284937392861844,0.0058945580776293555,COMPLETE
24,24,0.6386738680303097,2026-06-14 06:53:15.912106,2026-06-14 07:06:49.622528,0 days 00:13:33.710422,4.0,1.0,0.18813009750824727,0.21462588178961253,0.00010507032281323449,0.005861267718350429,COMPLETE
25,25,0.663380853831768,2026-06-14 07:06:49.623037,2026-06-14 07:20:23.160669,0 days 00:13:33.537632,4.0,1.0,0.23293670506814929,0.2097842482811173,8.030925483677545e-05,0.00621352181542366,COMPLETE
26,26,0.5917693069204688,2026-06-14 07:20:23.161088,2026-06-14 07:33:56.906478,0 days 00:13:33.745390,4.0,1.0,0.15986459731150085,0.2653223538119807,0.0002050164810203737,0.006258196814907232,COMPLETE
27,27,1.060852825641632,2026-06-14 07:33:56.907062,2026-06-14 07:37:40.535840,0 days 00:03:43.628778,4.0,1.0,0.1521495801331071,0.29818411552171015,1.1464241258582963e-05,0.009760402746913085,PRUNED
28,28,1.357107698917389,2026-06-14 07:37:40.536117,2026-06-14 07:39:34.003747,0 days 00:01:53.467630,2.0,0.25,0.35867570052017717,0.43241370291994474,2.619063478074217e-05,0.006776657561666311,PRUNED
29,29,1.2001692801713943,2026-06-14 07:39:34.004019,2026-06-14 07:40:42.789364,0 days 00:01:08.785345,0.5,0.25,0.24646789606820368,0.4502441662122041,0.00014884010022145886,0.004570854527702795,PRUNED
30,30,1.1468157209455967,2026-06-14 07:40:42.789804,2026-06-14 07:44:45.502393,0 days 00:04:02.712589,4.0,0.5,0.17991518961760214,0.23992662257747854,5.6785279083368156e-05,0.0027026199737343586,PRUNED
31,31,0.6580146439373493,2026-06-14 07:44:45.502762,2026-06-14 07:58:19.232781,0 days 00:13:33.730019,4.0,1.0,0.18041873047443074,0.16583329512491243,0.00021105310584205886,0.006339817151458829,COMPLETE
32,32,0.6490833517163992,2026-06-14 07:58:19.233209,2026-06-14 08:11:52.157679,0 days 00:13:32.924470,4.0,1.0,0.05572063074625567,0.19589599033821115,0.0002542981428676295,0.005335902481543687,COMPLETE
33,33,0.6185582969337702,2026-06-14 08:11:52.158102,2026-06-14 08:25:25.430513,0 days 00:13:33.272411,4.0,1.0,0.16352483923561098,0.30831016307625286,8.592719853694801e-05,0.00776986424632712,COMPLETE
34,34,2.3078344613313675,2026-06-14 08:25:25.430932,2026-06-14 08:26:34.356236,0 days 00:01:08.925304,0.5,1.0,0.24516899884550686,0.4008133668238307,0.041263201394061005,0.008778309884049951,PRUNED
35,35,0.6738298647105694,2026-06-14 08:26:34.356508,2026-06-14 08:40:06.963608,0 days 00:13:32.607100,4.0,1.0,0.1472845471208761,0.2944602477765077,5.2937572859701934e-05,0.0076904695744340655,COMPLETE
36,36,0.9550167173147202,2026-06-14 08:40:06.964017,2026-06-14 08:45:11.647595,0 days 00:05:04.683578,4.0,1.0,0.33715873066782287,0.5512857121487992,8.803085994985886e-05,0.004415085502677295,PRUNED
37,37,1.4004843831062317,2026-06-14 08:45:11.647865,2026-06-14 08:46:17.399183,0 days 00:01:05.751318,0.25,0.5,0.2070064709656409,0.493241892623303,0.00014179245979891093,0.002775788369750891,PRUNED
38,38,1.2333106994628906,2026-06-14 08:46:17.399481,2026-06-14 08:50:01.199562,0 days 00:03:43.800081,4.0,1.0,0.5111373233241151,0.3317735580504169,1.673357514203569e-05,0.007318019766901699,PRUNED
39,39,1.2347042560577393,2026-06-14 08:50:01.199857,2026-06-14 08:51:58.993264,0 days 00:01:57.793407,2.0,4.0,0.1181548468741448,0.3970261638676474,0.005348143672081744,0.002067722187937372,PRUNED
40,40,1.827144369482994,2026-06-14 08:51:58.993531,2026-06-14 08:55:41.151133,0 days 00:03:42.157602,4.0,0.25,0.7776077094619965,0.3086271736795318,4.178044535564314e-05,0.00524071253308569,PRUNED
41,41,0.6217475682497025,2026-06-14 08:55:41.151435,2026-06-14 09:09:15.262759,0 days 00:13:34.111324,4.0,1.0,0.09327250653182612,0.13262527466469232,0.0002988402249827566,0.005662679434007242,COMPLETE
42,42,0.9551786966621876,2026-06-14 09:09:15.263187,2026-06-14 09:13:19.231663,0 days 00:04:03.968476,4.0,1.0,0.15492468362275721,0.13382552630391997,0.0008850485813991125,0.007687905567948312,PRUNED
43,43,1.0044910199940205,2026-06-14 09:13:19.231958,2026-06-14 09:17:23.247443,0 days 00:04:04.015485,4.0,1.0,0.10688966005865325,0.23488811134269497,0.000636765465740986,0.0001055927695258863,PRUNED
44,44,0.6886642314493656,2026-06-14 09:17:23.247707,2026-06-14 09:22:17.891515,0 days 00:04:54.643808,1.0,1.0,0.03757323972603449,0.2651154937421783,0.0003346372342878035,0.004033182618103864,COMPLETE
